lookback,batchsize,updates,threshold,numfilters1,numfilters2,numfilters3,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,23,5,0,12,22,28,0.180328992,0.551547352,0.269015229,0.123271207
18,23,5,0,12,24,28,0.152909519,0.516279597,0.314029948,0.123236109
18,23,5,0,16,22,28,0.148692494,0.464468619,0.555994453,0.121260011
18,23,5,0,16,24,28,0.160223061,0.492110531,0.373206104,0.122264863
18,23,5,0.1,12,22,28,0.180328992,0.551547352,0.325782909,0.120809908
18,23,5,0.1,12,24,28,0.152909519,0.516279597,0.279263251,0.120999804
18,23,5,0.1,16,22,28,0.148692494,0.464468619,0.352376474,0.121021862
18,23,5,0.1,16,24,28,0.160223061,0.492110531,0.516877096,0.122096853
18,23,6,0,12,22,28,0.180328992,0.551547352,0.328327458,0.147092362
18,23,6,0,12,24,28,0.152909519,0.516279597,0.348276698,0.14753865
18,23,6,0,16,22,28,0.148692494,0.464468619,0.291836495,0.14775483
18,23,6,0,16,24,28,0.160223061,0.492110531,0.270765102,0.148679591
18,23,6,0.1,12,22,28,0.180328992,0.551547352,0.343017778,0.147074268
18,23,6,0.1,12,24,28,0.152909519,0.516279597,0.418188741,0.148437408
18,23,6,0.1,16,22,28,0.148692494,0.464468619,0.302800865,0.146598165
18,23,6,0.1,16,24,28,0.160223061,0.492110531,0.356949059,0.148742246
18,25,5,0,12,22,28,0.160267818,0.442033598,0.365033351,0.123142109
18,25,5,0,12,24,28,0.153848841,0.478432106,0.466514282,0.122913446
18,25,5,0,16,22,28,0.164920514,0.461206745,0.26059183,0.123805247
18,25,5,0,16,24,28,0.167815095,0.44146446,0.334213762,0.123702005
18,25,5,0.1,12,22,28,0.160267818,0.442033598,0.422541951,0.122633061
18,25,5,0.1,12,24,28,0.153848841,0.478432106,0.291450922,0.123400088
18,25,5,0.1,16,22,28,0.164920514,0.461206745,0.399650563,0.122682721
18,25,5,0.1,16,24,28,0.167815095,0.44146446,0.297733984,0.124087062
18,25,6,0,12,22,28,0.160267818,0.442033598,0.339740519,0.149816401
18,25,6,0,12,24,28,0.153848841,0.478432106,0.290005408,0.152765239
18,25,6,0,16,22,28,0.164920514,0.461206745,0.355634696,0.153364298
18,25,6,0,16,24,28,0.167815095,0.44146446,0.355500721,0.153068475
18,25,6,0.1,12,22,28,0.160267818,0.442033598,0.314520564,0.1523689
18,25,6,0.1,12,24,28,0.153848841,0.478432106,0.300714674,0.152866283
18,25,6,0.1,16,22,28,0.164920514,0.461206745,0.381964523,0.152608398
18,25,6,0.1,16,24,28,0.167815095,0.44146446,0.308796352,0.152613382
24,23,5,0,12,22,28,0.148182439,0.463227919,0.361429667,0.159603699
24,23,5,0,12,24,28,0.142549891,0.444117825,0.417122394,0.160771219
24,23,5,0,16,22,28,0.147397796,0.483397135,0.316053014,0.159769697
24,23,5,0,16,24,28,0.151930696,0.46999537,0.379745052,0.160460758
24,23,5,0.1,12,22,28,0.148182439,0.463227919,0.293669793,0.159768904
24,23,5,0.1,12,24,28,0.142549891,0.444117825,0.366080063,0.160586303
24,23,5,0.1,16,22,28,0.147397796,0.483397135,0.27837842,0.159948628
24,23,5,0.1,16,24,28,0.151930696,0.46999537,0.367064973,0.16108295
24,23,6,0,12,22,28,0.148182439,0.463227919,0.340825766,0.194554879
24,23,6,0,12,24,28,0.142549891,0.444117825,0.327573882,0.195473564
24,23,6,0,16,22,28,0.147397796,0.483397135,0.290252773,0.194989887
24,23,6,0,16,24,28,0.151930696,0.46999537,0.330162207,0.196736106
24,23,6,0.1,12,22,28,0.148182439,0.463227919,0.357936951,0.194171582
24,23,6,0.1,12,24,28,0.142549891,0.444117825,0.278085744,0.195936813
24,23,6,0.1,16,22,28,0.147397796,0.483397135,0.25993169,0.195433846
24,23,6,0.1,16,24,28,0.151930696,0.46999537,0.36453014,0.196484868
24,25,5,0,12,22,28,0.150795923,0.432705464,0.346024356,0.162249862
24,25,5,0,12,24,28,0.150753042,0.438923097,0.347753825,0.164625647
24,25,5,0,16,22,28,0.14773691,0.441107339,0.427654798,0.16396845
24,25,5,0,16,24,28,0.16202066,0.419593832,0.433974494,0.163973046
24,25,5,0.1,12,22,28,0.150795923,0.432705464,0.401299482,0.16359236
24,25,5,0.1,12,24,28,0.150753042,0.438923097,0.293821306,0.163057473
24,25,5,0.1,16,22,28,0.14773691,0.441107339,0.292232242,0.162835629
24,25,5,0.1,16,24,28,0.16202066,0.419593832,0.345480471,0.163195737
24,25,6,0,12,22,28,0.150795923,0.432705464,0.27601081,0.19795774
24,25,6,0,12,24,28,0.150753042,0.438923097,0.34680109,0.198498437
24,25,6,0,16,22,28,0.14773691,0.441107339,0.290274022,0.198298226
24,25,6,0,16,24,28,0.16202066,0.419593832,0.24559781,0.199682284
24,25,6,0.1,12,22,28,0.150795923,0.432705464,0.254592774,0.197996057
24,25,6,0.1,12,24,28,0.150753042,0.438923097,0.306614097,0.199298135
24,25,6,0.1,16,22,28,0.14773691,0.441107339,0.328367724,0.198741128
24,25,6,0.1,16,24,28,0.16202066,0.419593832,0.356275687,0.199894772
