lookback,batchsize,updates,threshold,numfilters1,numfilters2,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,23,5,0,12,22,0.1503820480411872,0.43633865191047283,0.37684729066608547,0.05680145455668689
18,23,5,0,12,24,0.14823195641414605,0.4178442349218209,0.41914507978463805,0.057033820503826174
18,23,5,0,16,22,0.15664196647229303,0.44808083012733263,0.2811254447625915,0.055190805000709
18,23,5,0,16,24,0.15586260975834357,0.45781650465513885,0.2905129242836027,0.05573695886788611
18,23,5,0.1,12,22,0.1503820480411872,0.43633865191047283,0.3252049902423797,0.05685983565309435
18,23,5,0.1,12,24,0.14823195641414605,0.4178442349218209,0.2964835735136236,0.056871985269386006
18,23,5,0.1,16,22,0.15664196647229303,0.44808083012733263,0.3245055668779717,0.055865745286683775
18,23,5,0.1,16,24,0.15586260975834357,0.45781650465513885,0.34222483070636023,0.05608752160333097
18,23,6,0,12,22,0.1503820480411872,0.43633865191047283,0.40261423917253525,0.06795162739961044
18,23,6,0,12,24,0.14823195641414605,0.4178442349218209,0.25829786913728126,0.06909589122959707
18,23,6,0,16,22,0.15664196647229303,0.44808083012733263,0.27985104014297063,0.06713428163798861
18,23,6,0,16,24,0.15586260975834357,0.45781650465513885,0.30331135901223294,0.06729946222106992
18,23,6,0.1,12,22,0.1503820480411872,0.43633865191047283,0.26320076324909036,0.06858000867106742
18,23,6,0.1,12,24,0.14823195641414605,0.4178442349218209,0.30584003041708385,0.06982702815899665
18,23,6,0.1,16,22,0.15664196647229303,0.44808083012733263,0.2841654127917263,0.06737403063038688
18,23,6,0.1,16,24,0.15586260975834357,0.45781650465513885,0.34696604237990336,0.06710654230598719
18,25,5,0,12,22,0.14821007021434107,0.43797900522843797,0.3286156830551859,0.058049496241978235
18,25,5,0,12,24,0.14907122933643788,0.417667697868428,0.3124629259767788,0.0590652711050851
18,25,5,0,16,22,0.1586255706958974,0.43064798521867803,0.4349418486116034,0.05684560321626209
18,25,5,0,16,24,0.15678543067328082,0.45168613349984815,0.2911596437941331,0.058640819731212795
18,25,5,0.1,12,22,0.14821007021434107,0.43797900522843797,0.36563345222832017,0.05903135597115696
18,25,5,0.1,12,24,0.14907122933643788,0.417667697868428,0.3946666495957105,0.059526836562317303
18,25,5,0.1,16,22,0.1586255706958974,0.43064798521867803,0.4286752417316394,0.05752751665207946
18,25,5,0.1,16,24,0.15678543067328082,0.45168613349984815,0.3167925527539459,0.05782664024223715
18,25,6,0,12,22,0.14821007021434107,0.43797900522843797,0.3466168585825267,0.07028723444257463
18,25,6,0,12,24,0.14907122933643788,0.417667697868428,0.2961351430113627,0.07100533576238723
18,25,6,0,16,22,0.1586255706958974,0.43064798521867803,0.2588337313937506,0.0689269749323527
18,25,6,0,16,24,0.15678543067328082,0.45168613349984815,0.42910582116143714,0.06924529575166248
18,25,6,0.1,12,22,0.14821007021434107,0.43797900522843797,0.29690616444934764,0.06991453421494317
18,25,6,0.1,12,24,0.14907122933643788,0.417667697868428,0.33962428147423385,0.07215628765597201
18,25,6,0.1,16,22,0.1586255706958974,0.43064798521867803,0.3254572449384396,0.06932022456893462
18,25,6,0.1,16,24,0.15678543067328082,0.45168613349984815,0.3189221152177526,0.07044446626005435
24,23,5,0,12,22,0.14738053887564045,0.43257044406452944,0.27445291261674,0.07281363252280415
24,23,5,0,12,24,0.13687543878242026,0.41655628838047304,0.35589720665839775,0.07327965699532182
24,23,5,0,16,22,0.1397599413442158,0.4592556726309516,0.3029290050619026,0.07161907781149454
24,23,5,0,16,24,0.1437379898698788,0.43384357865255485,0.37219000302965793,0.07216099517932836
24,23,5,0.1,12,22,0.14738053887564045,0.43257044406452944,0.5874931602854926,0.07201373974884002
24,23,5,0.1,12,24,0.13687543878242026,0.41655628838047304,0.32303400994638054,0.07391149189967582
24,23,5,0.1,16,22,0.1397599413442158,0.4592556726309516,0.35723064749898875,0.0713209436692942
24,23,5,0.1,16,24,0.1437379898698788,0.43384357865255485,0.28396086466824766,0.07257861788234403
24,23,6,0,12,22,0.14738053887564045,0.43257044406452944,0.402340647556062,0.08705383729243624
24,23,6,0,12,24,0.13687543878242026,0.41655628838047304,0.31572519359624096,0.08838652827313556
24,23,6,0,16,22,0.1397599413442158,0.4592556726309516,0.3059010947845977,0.08546982433484948
24,23,6,0,16,24,0.1437379898698788,0.43384357865255485,0.26916371071958867,0.08580310010679679
24,23,6,0.1,12,22,0.14738053887564045,0.43257044406452944,0.2694182652324873,0.08738656029058474
24,23,6,0.1,12,24,0.13687543878242026,0.41655628838047304,0.28267140828487186,0.08848271525795053
