lookback,batchsize,updates,threshold,numfilters1,numfilters2,numfilters3,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,23,5,0,12,22,28,0.116426655,0.336846189,0.291972154,0.056145706
18,23,5,0,12,24,28,0.115873003,0.334136246,0.269268458,0.060991576
18,23,5,0,16,22,28,0.114000741,0.365832981,0.333133268,0.065094816
18,23,5,0,16,24,28,0.112493787,0.342013666,0.376166741,0.068827917
18,23,5,0.1,12,22,28,0.116426655,0.336846189,0.397293246,0.069037281
18,23,5,0.1,12,24,28,0.115873003,0.334136246,0.244028702,0.070205179
18,23,5,0.1,16,22,28,0.114000741,0.365832981,0.373130624,0.066880827
18,23,5,0.1,16,24,28,0.112493787,0.342013666,0.336125753,0.064902506
18,23,6,0,12,22,28,0.116426655,0.336846189,0.237387512,0.080056729
18,23,6,0,12,24,28,0.115873003,0.334136246,0.325293545,0.080979109
18,23,6,0,16,22,28,0.114000741,0.365832981,0.375924937,0.079943081
18,23,6,0,16,24,28,0.112493787,0.342013666,0.334783779,0.077446078
18,23,6,0.1,12,22,28,0.116426655,0.336846189,0.244186421,0.07774205
18,23,6,0.1,12,24,28,0.115873003,0.334136246,0.537160011,0.077128207
18,23,6,0.1,16,22,28,0.114000741,0.365832981,0.284882472,0.070190318
18,23,6,0.1,16,24,28,0.112493787,0.342013666,0.34760921,0.075173957
18,25,5,0,12,22,28,0.142426359,0.372608869,0.245074635,0.065214325
18,25,5,0,12,24,28,0.116365723,0.368493044,0.341967543,0.060944339
18,25,5,0,16,22,28,0.113818489,0.369023745,0.369086553,0.068937748
18,25,5,0,16,24,28,0.166469453,0.382508755,0.371235782,0.069326703
18,25,5,0.1,12,22,28,0.142426359,0.372608869,0.258875304,0.069920385
18,25,5,0.1,12,24,28,0.116365723,0.368493044,0.257032311,0.070314938
18,25,5,0.1,16,22,28,0.113818489,0.369023745,0.300153015,0.068423254
18,25,5,0.1,16,24,28,0.166469453,0.382508755,0.319242538,0.069768451
18,25,6,0,12,22,28,0.142426359,0.372608869,0.300030011,0.081731769
18,25,6,0,12,24,28,0.116365723,0.368493044,0.230502333,0.078105897
18,25,6,0,16,22,28,0.113818489,0.369023745,0.32283159,0.075436673
18,25,6,0,16,24,28,0.166469453,0.382508755,0.249673511,0.072780768
18,25,6,0.1,12,22,28,0.142426359,0.372608869,0.300136766,0.071196772
18,25,6,0.1,12,24,28,0.116365723,0.368493044,0.302622448,0.073172723
18,25,6,0.1,16,22,28,0.113818489,0.369023745,0.231996641,0.07844261
18,25,6,0.1,16,24,28,0.166469453,0.382508755,0.352954762,0.075707456
24,23,5,0,12,22,28,0.102731528,0.334336605,0.292121594,0.075562929
24,23,5,0,12,24,28,0.165232551,0.420896874,0.311015953,0.072829731
24,23,5,0,16,22,28,0.106554907,0.380950848,0.227669332,0.078943345
24,23,5,0,16,24,28,0.098413525,0.346769583,0.254242512,0.077998933
24,23,5,0.1,12,22,28,0.102731528,0.334336605,0.368428754,0.085667902
24,23,5,0.1,12,24,28,0.165232551,0.420896874,0.401632447,0.083711489
24,23,5,0.1,16,22,28,0.106554907,0.380950848,0.31660867,0.083626099
24,23,5,0.1,16,24,28,0.098413525,0.346769583,0.324278377,0.083283184
24,23,6,0,12,22,28,0.102731528,0.334336605,0.308156098,0.093954689
24,23,6,0,12,24,28,0.165232551,0.420896874,0.236226726,0.088818189
24,23,6,0,16,22,28,0.106554907,0.380950848,0.472834977,0.086116514
24,23,6,0,16,24,28,0.098413525,0.346769583,0.221518242,0.085702728
24,23,6,0.1,12,22,28,0.102731528,0.334336605,0.319733704,0.084922816
24,23,6,0.1,12,24,28,0.165232551,0.420896874,0.275434955,0.085074071
24,23,6,0.1,16,22,28,0.106554907,0.380950848,0.315287013,0.091153718
24,23,6,0.1,16,24,28,0.098413525,0.346769583,0.241025108,0.087252628
24,25,5,0,12,22,28,0.10717855,0.344451161,0.302625236,0.073890018
24,25,5,0,12,24,28,0.117417138,0.337872932,0.304277338,0.074186852
24,25,5,0,16,22,28,0.117143373,0.357233038,0.352990139,0.077704254
24,25,5,0,16,24,28,0.105776839,0.342547028,0.258097097,0.076489742
24,25,5,0.1,12,22,28,0.10717855,0.344451161,0.260393317,0.075490572
24,25,5,0.1,12,24,28,0.117417138,0.337872932,0.343823741,0.077569631
24,25,5,0.1,16,22,28,0.117143373,0.357233038,0.274317303,0.078139005
24,25,5,0.1,16,24,28,0.105776839,0.342547028,0.345678089,0.074194134
24,25,6,0,12,22,28,0.10717855,0.344451161,0.216503935,0.099281712
24,25,6,0,12,24,28,0.117417138,0.337872932,0.561934349,0.101002591
24,25,6,0,16,22,28,0.117143373,0.357233038,0.290188822,0.090352812
24,25,6,0,16,24,28,0.105776839,0.342547028,0.286255841,0.098634179
24,25,6,0.1,12,22,28,0.10717855,0.344451161,0.260352448,0.10096218
24,25,6,0.1,12,24,28,0.117417138,0.337872932,0.359128965,0.096767103
24,25,6,0.1,16,22,28,0.117143373,0.357233038,0.214620641,0.094446131
24,25,6,0.1,16,24,28,0.105776839,0.342547028,0.482522896,0.09056469
