lookback,batchsize,updates,threshold,numfilters1,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,23,5,0,12,0.13782772393758724,0.32446780478300113,0.27996572310035994,0.032853034583742544
18,23,5,0,16,0.12546871122299066,0.36485417536155157,0.39762824361668864,0.03217420438286938
18,23,5,0.1,12,0.13782772393758724,0.32446780478300113,0.384571303266918,0.03285353100714992
18,23,5,0.1,16,0.12546871122299066,0.36485417536155157,0.3177924631521294,0.03241313028335571
18,23,6,0,12,0.13782772393758724,0.32446780478300113,0.37162670339239323,0.03923165888326605
18,23,6,0,16,0.12546871122299066,0.36485417536155157,0.45033396216220756,0.038338574885420626
18,23,6,0.1,12,0.13782772393758724,0.32446780478300113,0.6037877168004637,0.03907521778493265
18,23,6,0.1,16,0.12546871122299066,0.36485417536155157,0.45033396216220756,0.038142417914925994
18,25,5,0,12,0.13612597418640462,0.3306717033841207,0.5480329548549542,0.03324904759724935
18,25,5,0,16,0.1390965780568208,0.36873874419595243,0.2745577064852549,0.03247905663081578
18,25,5,0.1,12,0.13612597418640462,0.3306717033841207,0.2239048772031282,0.0334843429289718
18,25,5,0.1,16,0.1390965780568208,0.36873874419595243,0.27423304053859254,0.03258952050659787
18,25,6,0,12,0.13612597418640462,0.3306717033841207,0.21387861435766659,0.03904644920712426
18,25,6,0,16,0.1390965780568208,0.36873874419595243,0.22844303985217315,0.03815906002407982
18,25,6,0.1,12,0.13612597418640462,0.3306717033841207,0.3506113524464532,0.0369390865363697
18,25,6,0.1,16,0.1390965780568208,0.36873874419595243,0.23664408220812233,0.03635503223964146
24,23,5,0,12,0.12696345630502065,0.34030969566183183,0.4333589274348036,0.03536895346526363
24,23,5,0,16,0.12821252612594944,0.3557943569834855,0.29704465710919886,0.0343773579251939
24,23,5,0.1,12,0.12696345630502065,0.34030969566183183,0.2299983478714476,0.035413895297971405
24,23,5,0.1,16,0.12821252612594944,0.3557943569834855,0.35001769651726844,0.03445790564528525
24,23,6,0,12,0.12696345630502065,0.34030969566183183,0.26682665179361714,0.0417477474120504
24,23,6,0,16,0.12821252612594944,0.3557943569834855,0.389602710298426,0.040682911757685715
24,23,6,0.1,12,0.12696345630502065,0.34030969566183183,0.31801013997320837,0.04162705630274521
24,23,6,0.1,16,0.12821252612594944,0.3557943569834855,0.2446741513508931,0.04106299082438151
24,25,5,0,12,0.12781759544893967,0.33109649800946783,0.4945015189191821,0.03546870371190513
24,25,5,0,16,0.12213717688617165,0.34866150531781526,0.34364123243809347,0.03480015312753073
24,25,5,0.1,12,0.12781759544893967,0.33109649800946783,0.2508510651936229,0.03577897321117674
24,25,5,0.1,16,0.12213717688617165,0.34866150531781526,0.48120594507101566,0.034766749805348156
24,25,6,0,12,0.12781759544893967,0.33109649800946783,0.3632606447862908,0.041023609347459744
24,25,6,0,16,0.12213717688617165,0.34866150531781526,0.2440260280472475,0.040081924345435165
24,25,6,0.1,12,0.12781759544893967,0.33109649800946783,0.4602395890950281,0.041165484538034654
24,25,6,0.1,16,0.12213717688617165,0.34866150531781526,0.5066226870032231,0.041283055078780044
