look_back,batch_size,updates,threshold,Avg_Train_RNMSE,Avg_Test_RNMSE,Avg_Test_Inc_RNMSE
12,25,7,0.1,0.168404302,0.317544752,0.232789912
12,30,7,0.3,0.171057718,0.314200927,0.235540971
12,25,7,0,0.162344452,0.313261172,0.239932387
12,20,5,0,0.158813571,0.330015439,0.24488626
12,25,5,0.2,0.160363345,0.300912761,0.247386851
12,20,7,0.1,0.165490388,0.301887661,0.247994154
24,25,7,0.2,0.144326919,0.327977597,0.248316538
24,25,7,0.3,0.143984049,0.309864592,0.257687523
24,20,7,0,0.142731108,0.313320963,0.258034195
36,30,5,0.2,0.138526686,0.320613006,0.260416036
24,20,5,0.1,0.141497265,0.334273427,0.267659245
24,30,7,0.3,0.148845019,0.341719544,0.268277346
36,25,7,0,0.141196508,0.509076002,0.273067056
36,30,7,0.2,0.139475159,0.380797072,0.274488353
24,30,5,0.3,0.148019571,0.317215949,0.276930711
12,30,5,0.1,0.162991029,0.304289174,0.2842069
12,25,3,0,0.168717924,0.325983794,0.284418827
36,20,7,0.2,0.129778104,0.332787975,0.285928501
24,30,7,0,0.148814408,0.308194743,0.287635223
12,20,5,0.2,0.157654087,0.304778792,0.288250713
12,30,7,0.2,0.168174448,0.31440464,0.288716634
12,20,5,0.3,0.158432507,0.32343883,0.290604273
12,30,7,0,0.165054283,0.304675766,0.290787621
36,20,7,0.3,0.132484709,0.472296535,0.295068407
12,20,7,0.3,0.162374936,0.299232715,0.29556832
24,20,7,0.2,0.140832179,0.310710103,0.297251788
36,20,7,0.1,0.133055191,0.368289552,0.298517488
36,30,7,0.1,0.141106033,0.316543175,0.305369184
24,25,3,0.2,0.146062132,0.318228873,0.308340731
24,25,5,0.3,0.14422192,0.301829573,0.308880131
24,30,7,0.1,0.148140826,0.358317023,0.31049509
12,20,7,0,0.159329268,0.296701839,0.31223891
36,25,5,0,0.140865808,0.322425184,0.316508856
36,20,7,0,0.135575204,0.317802647,0.320732549
24,20,5,0.3,0.140922257,0.305876932,0.324241019
36,30,3,0.2,0.139943905,0.374927508,0.327350296
36,25,5,0.1,0.141845419,0.318424235,0.328032434
24,30,3,0.1,0.149868155,0.306087777,0.329496708
24,30,7,0.2,0.147562757,0.311786674,0.331660265
12,20,3,0.3,0.164084281,0.307148142,0.335990091
12,30,3,0.3,0.167411044,0.324802797,0.341273661
24,25,3,0.3,0.14736301,0.308316537,0.344283269
12,25,7,0.2,0.165544343,0.309806207,0.346521122
24,30,3,0.3,0.148706344,0.31244569,0.350071531
24,20,5,0.2,0.141861529,0.311985972,0.352437577
24,25,7,0.1,0.145741951,0.311797179,0.352486896
36,25,7,0.3,0.138011906,0.34265968,0.352882393
24,20,7,0.3,0.144037947,0.308390172,0.355489736
36,25,5,0.2,0.13899054,0.309442282,0.356382673
24,25,5,0,0.144488869,0.304714142,0.358302946
12,30,7,0.1,0.164463546,0.323288387,0.361527646
12,30,3,0.2,0.171104195,0.315310775,0.361950204
12,25,5,0,0.164632124,0.309556374,0.364647795
36,20,5,0.3,0.130508668,0.344575481,0.367187924
36,30,7,0,0.140310686,0.321545695,0.367971178
36,20,5,0.1,0.131119146,0.334662043,0.368695168
12,25,3,0.3,0.166168147,0.308423995,0.369725721
12,20,3,0,0.160493228,0.30150098,0.371240521
12,30,3,0,0.171621295,0.294478733,0.372559602
24,20,3,0.2,0.139417101,0.492682009,0.373736337
36,30,5,0.3,0.140891312,0.362298987,0.375150117
12,25,5,0.3,0.165901462,0.304153314,0.375530465
24,30,3,0.2,0.149003604,0.328915338,0.380503823
12,30,5,0,0.168961282,0.303697639,0.387111273
36,20,5,0,0.13308928,0.328450073,0.388514736
36,25,7,0.1,0.138009547,0.335311427,0.393812016
24,20,5,0,0.142833017,0.381560846,0.396797926
36,25,7,0.2,0.137845879,0.323884944,0.405371915
12,20,3,0.1,0.159635613,0.313705348,0.411161848
24,20,7,0.1,0.143556062,0.30945118,0.415512939
12,30,5,0.3,0.165891511,0.309480616,0.42442959
24,25,5,0.2,0.143545222,0.295589638,0.425343944
36,25,3,0.3,0.139388508,0.333842607,0.427296642
12,25,3,0.1,0.164539615,0.303981668,0.428512348
12,25,7,0.3,0.169567802,0.331760318,0.446986439
12,20,5,0.1,0.160148747,0.308425024,0.449031021
24,20,3,0.1,0.141288534,0.305780835,0.456343965
24,30,5,0,0.151133996,0.3267166,0.45657621
12,20,3,0.2,0.159180342,0.3351685,0.457463478
36,20,3,0.1,0.131188935,0.344228244,0.460132982
36,30,7,0.3,0.135910605,0.315808467,0.465119004
36,30,3,0.3,0.137194598,0.321931892,0.468744922
12,30,5,0.2,0.171705189,0.307533421,0.4719317
