lookback,batchsize,updates,threshold,numfilters1,numfilters2,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,23,5,0,12,20,0.121479881,0.329806277,0.315618053,0.050523762
18,23,5,0,12,22,0.158634367,0.33320092,0.341967436,0.051213836
18,23,5,0,12,24,0.120903156,0.319349896,0.290963413,0.051011523
18,23,5,0,14,20,0.135120572,0.353663231,0.242104761,0.051531507
18,23,5,0,14,22,0.121434673,0.328581518,0.258700599,0.051781517
18,23,5,0,14,24,0.1175716,0.33671392,0.335175282,0.051824596
18,23,5,0,16,20,0.123250664,0.336482514,0.43586608,0.051344591
18,23,5,0,16,22,0.118509177,0.338830723,0.246919495,0.051562803
18,23,5,0,16,24,0.116286322,0.316010577,0.273067445,0.051470248
18,23,5,0.1,12,20,0.121479881,0.329806277,0.253971668,0.051426804
18,23,5,0.1,12,22,0.158634367,0.33320092,0.460825158,0.051583111
18,23,5,0.1,12,24,0.120903156,0.319349896,0.375456345,0.052606277
18,23,5,0.1,14,20,0.135120572,0.353663231,0.24307639,0.05761532
18,23,5,0.1,14,22,0.121434673,0.328581518,0.364085838,0.056323455
18,23,5,0.1,14,24,0.1175716,0.33671392,0.317663608,0.054943526
18,23,5,0.1,16,20,0.123250664,0.336482514,0.392412762,0.052750213
18,23,5,0.1,16,22,0.118509177,0.338830723,0.231368052,0.052143432
18,23,5,0.1,16,24,0.116286322,0.316010577,0.260564528,0.051898223
18,23,5,0.15,12,20,0.121479881,0.329806277,0.273559157,0.052445003
18,23,5,0.15,12,22,0.158634367,0.33320092,0.298916895,0.053264639
18,23,5,0.15,12,24,0.120903156,0.319349896,0.414923399,0.052563241
18,23,5,0.15,14,20,0.135120572,0.353663231,0.324165667,0.053439888
18,23,5,0.15,14,22,0.121434673,0.328581518,0.318228156,0.053378333
18,23,5,0.15,14,24,0.1175716,0.33671392,0.23179777,0.052957271
18,23,5,0.15,16,20,0.123250664,0.336482514,0.339611429,0.053112189
18,23,5,0.15,16,22,0.118509177,0.338830723,0.298820638,0.051842774
18,23,5,0.15,16,24,0.116286322,0.316010577,0.363228905,0.051648055
18,23,5,0.2,12,20,0.121479881,0.329806277,0.388203898,0.052126916
18,23,5,0.2,12,22,0.158634367,0.33320092,0.264034635,0.052867445
18,23,5,0.2,12,24,0.120903156,0.319349896,0.279785225,0.052777791
18,23,5,0.2,14,20,0.135120572,0.353663231,0.227640578,0.055305889
18,23,5,0.2,14,22,0.121434673,0.328581518,0.242275107,0.053848459
18,23,5,0.2,14,24,0.1175716,0.33671392,0.284562242,0.051960273
18,23,5,0.2,16,20,0.123250664,0.336482514,0.316254505,0.051862911
18,23,5,0.2,16,22,0.118509177,0.338830723,0.250697633,0.052863573
18,23,5,0.2,16,24,0.116286322,0.316010577,0.294233093,0.0512049
18,23,6,0,12,20,0.121479881,0.329806277,0.265658486,0.059478734
18,23,6,0,12,22,0.158634367,0.33320092,0.426189512,0.05918144
18,23,6,0,12,24,0.120903156,0.319349896,0.32082276,0.061036314
18,23,6,0,14,20,0.135120572,0.353663231,0.277211924,0.063785396
18,23,6,0,14,22,0.121434673,0.328581518,0.259846934,0.063768088
18,23,6,0,14,24,0.1175716,0.33671392,0.255734466,0.063454239
18,23,6,0,16,20,0.123250664,0.336482514,0.279168608,0.063711635
18,23,6,0,16,22,0.118509177,0.338830723,0.245137318,0.063840388
18,23,6,0,16,24,0.116286322,0.316010577,0.280987837,0.063024717
18,23,6,0,16,24,0.116286322,0.316010577,0.280987837,0.051185127
18,23,6,0,16,30,0.114803535,0.33376818,0.305766855,0.052087003
18,23,6,0,20,24,0.135261686,0.32306807,0.272274614,0.052699973
18,23,6,0,20,30,0.108518049,0.331057571,0.370699219,0.052530564
18,23,6,0.1,12,20,0.121479881,0.329806277,0.350712721,0.063427761
18,23,6,0.1,12,22,0.158634367,0.33320092,0.419769411,0.063703398
18,23,6,0.1,12,24,0.120903156,0.319349896,0.333276021,0.063792232
18,23,6,0.1,14,20,0.135120572,0.353663231,0.244773578,0.064178385
18,23,6,0.1,14,22,0.121434673,0.328581518,0.242710393,0.064137121
18,23,6,0.1,14,24,0.1175716,0.33671392,0.286341189,0.063754714
18,23,6,0.1,16,20,0.123250664,0.336482514,0.316853456,0.063332399
18,23,6,0.1,16,22,0.118509177,0.338830723,0.253393107,0.063454824
18,23,6,0.1,16,24,0.116286322,0.316010577,0.264996388,0.064008708
18,23,6,0.1,16,24,0.116286322,0.316010577,0.264996388,0.05275427
18,23,6,0.1,16,30,0.114803535,0.33376818,0.356288837,0.054344579
18,23,6,0.1,20,24,0.135261686,0.32306807,0.271498728,0.053553292
18,23,6,0.1,20,30,0.108518049,0.331057571,0.291313525,0.050959704
18,23,6,0.15,12,20,0.121479881,0.329806277,0.292177595,0.066813167
18,23,6,0.15,12,22,0.158634367,0.33320092,0.362368096,0.066840983
18,23,6,0.15,12,24,0.120903156,0.319349896,0.313525593,0.067387194
18,23,6,0.15,14,20,0.135120572,0.353663231,0.246196693,0.068715956
18,23,6,0.15,14,22,0.121434673,0.328581518,0.305734974,0.066789781
18,23,6,0.15,14,24,0.1175716,0.33671392,0.240580817,0.065442417
18,23,6,0.15,16,20,0.123250664,0.336482514,0.303040896,0.065383806
18,23,6,0.15,16,22,0.118509177,0.338830723,0.306183556,0.066062404
18,23,6,0.15,16,24,0.116286322,0.316010577,0.303040681,0.066881815
18,23,6,0.2,12,20,0.121479881,0.329806277,0.265369935,0.067216363
18,23,6,0.2,12,22,0.158634367,0.33320092,0.258185479,0.067411457
18,23,6,0.2,12,24,0.120903156,0.319349896,0.359617533,0.067672162
18,23,6,0.2,14,20,0.135120572,0.353663231,0.219582743,0.06937303
18,23,6,0.2,14,22,0.121434673,0.328581518,0.313801401,0.067119421
18,23,6,0.2,14,24,0.1175716,0.33671392,0.259902356,0.066237998
18,23,6,0.2,16,20,0.123250664,0.336482514,0.286692048,0.063893587
18,23,6,0.2,16,22,0.118509177,0.338830723,0.23009604,0.067493737
18,23,6,0.2,16,24,0.116286322,0.316010577,0.273015429,0.065463247
18,23,7,0,12,20,0.121479881,0.329806277,0.279802352,0.07547576
18,23,7,0,12,22,0.158634367,0.33320092,0.282294755,0.076111341
18,23,7,0,12,24,0.120903156,0.319349896,0.246721759,0.07507893
18,23,7,0,14,20,0.135120572,0.353663231,0.256960564,0.076958687
18,23,7,0,14,22,0.121434673,0.328581518,0.240318565,0.075661443
18,23,7,0,14,24,0.1175716,0.33671392,0.326707501,0.07577639
18,23,7,0,16,20,0.123250664,0.336482514,0.272663718,0.075879913
18,23,7,0,16,22,0.118509177,0.338830723,0.286339714,0.075868993
18,23,7,0,16,24,0.116286322,0.316010577,0.357702241,0.07598321
18,23,7,0,16,24,0.116286322,0.316010577,0.357702241,0.058811232
18,23,7,0,16,30,0.114803535,0.33376818,0.299602187,0.059040225
18,23,7,0,20,24,0.135261686,0.32306807,0.289548874,0.058450648
18,23,7,0,20,30,0.108518049,0.331057571,0.473140242,0.059983753
18,23,7,0.1,12,20,0.121479881,0.329806277,0.311960402,0.075749922
18,23,7,0.1,12,22,0.158634367,0.33320092,0.234532438,0.076148846
18,23,7,0.1,12,24,0.120903156,0.319349896,0.261499603,0.07552226
18,23,7,0.1,14,20,0.135120572,0.353663231,0.287222089,0.075447085
18,23,7,0.1,14,22,0.121434673,0.328581518,0.262937196,0.075708007
18,23,7,0.1,14,24,0.1175716,0.33671392,0.354257027,0.076174408
18,23,7,0.1,16,20,0.123250664,0.336482514,0.503565381,0.075519458
18,23,7,0.1,16,22,0.118509177,0.338830723,0.280482278,0.07663267
18,23,7,0.1,16,24,0.116286322,0.316010577,0.31854748,0.075611723
18,23,7,0.1,16,24,0.116286322,0.316010577,0.31854748,0.057779993
18,23,7,0.1,16,30,0.114803535,0.33376818,0.341483771,0.058750493
18,23,7,0.1,20,24,0.135261686,0.32306807,0.243869048,0.059381422
18,23,7,0.1,20,30,0.108518049,0.331057571,0.270191628,0.058635189
18,23,7,0.15,12,20,0.121479881,0.329806277,0.408067839,0.075440182
18,23,7,0.15,12,22,0.158634367,0.33320092,0.245524179,0.07525967
18,23,7,0.15,12,24,0.120903156,0.319349896,0.353746935,0.075789503
18,23,7,0.15,14,20,0.135120572,0.353663231,0.308190806,0.076656616
18,23,7,0.15,14,22,0.121434673,0.328581518,0.229163334,0.077962439
18,23,7,0.15,14,24,0.1175716,0.33671392,0.290249982,0.077384372
18,23,7,0.15,16,20,0.123250664,0.336482514,0.296991743,0.077079618
18,23,7,0.15,16,22,0.118509177,0.338830723,0.461251896,0.07617526
18,23,7,0.15,16,24,0.116286322,0.316010577,0.359292801,0.07574489
18,23,7,0.2,12,20,0.121479881,0.329806277,0.236828352,0.077103138
18,23,7,0.2,12,22,0.158634367,0.33320092,0.423745071,0.075819228
18,23,7,0.2,12,24,0.120903156,0.319349896,0.398170804,0.074818089
18,23,7,0.2,14,20,0.135120572,0.353663231,0.276704951,0.07620271
18,23,7,0.2,14,22,0.121434673,0.328581518,0.437770059,0.076741185
18,23,7,0.2,14,24,0.1175716,0.33671392,0.272222689,0.077758707
18,23,7,0.2,16,20,0.123250664,0.336482514,0.246294044,0.07668945
18,23,7,0.2,16,22,0.118509177,0.338830723,0.249725987,0.076667623
18,23,7,0.2,16,24,0.116286322,0.316010577,0.270160606,0.076402633
18,25,5,0,12,20,0.120426144,0.324338648,0.289067716,0.055130294
18,25,5,0,12,22,0.119507295,0.346147922,0.477897646,0.055135141
18,25,5,0,12,24,0.178179956,0.380150803,0.245911702,0.055201366
18,25,5,0,14,20,0.122075848,0.366932926,0.22934342,0.055990538
18,25,5,0,14,22,0.117567279,0.317546186,0.393056876,0.05633223
18,25,5,0,14,24,0.119661646,0.334098133,0.387078621,0.055575333
18,25,5,0,16,20,0.134331209,0.334866563,0.409382489,0.055241034
18,25,5,0,16,22,0.157101623,0.35793815,0.251883113,0.055712049
18,25,5,0,16,24,0.128406483,0.316419263,0.225841947,0.055033245
18,25,5,0.1,12,20,0.120426144,0.324338648,0.321050674,0.05605784
18,25,5,0.1,12,22,0.119507295,0.346147922,0.349877706,0.053787813
18,25,5,0.1,12,24,0.178179956,0.380150803,0.335007242,0.052918611
18,25,5,0.1,14,20,0.122075848,0.366932926,0.505788527,0.053811739
18,25,5,0.1,14,22,0.117567279,0.317546186,0.268130389,0.053939428
18,25,5,0.1,14,24,0.119661646,0.334098133,0.355565995,0.052459359
18,25,5,0.1,16,20,0.134331209,0.334866563,0.346579068,0.053332254
18,25,5,0.1,16,22,0.157101623,0.35793815,0.281503164,0.052927457
18,25,5,0.1,16,24,0.128406483,0.316419263,0.249371437,0.051425748
18,25,5,0.15,12,20,0.120426144,0.324338648,0.298366077,0.05203047
18,25,5,0.15,12,22,0.119507295,0.346147922,0.358620291,0.051674058
18,25,5,0.15,12,24,0.178179956,0.380150803,0.257383578,0.051765651
18,25,5,0.15,14,20,0.122075848,0.366932926,0.365643161,0.053032627
18,25,5,0.15,14,22,0.117567279,0.317546186,0.257092614,0.054370513
18,25,5,0.15,14,24,0.119661646,0.334098133,0.242729989,0.053975365
18,25,5,0.15,16,20,0.134331209,0.334866563,0.356074281,0.052874696
18,25,5,0.15,16,22,0.157101623,0.35793815,0.369938842,0.052574848
18,25,5,0.15,16,24,0.128406483,0.316419263,0.214349226,0.052481174
18,25,5,0.2,12,20,0.120426144,0.324338648,0.385630496,0.050595302
18,25,5,0.2,12,22,0.119507295,0.346147922,0.259403821,0.051370636
18,25,5,0.2,12,24,0.178179956,0.380150803,0.395629568,0.05219054
18,25,5,0.2,14,20,0.122075848,0.366932926,0.582732574,0.049237
18,25,5,0.2,14,22,0.117567279,0.317546186,0.289070633,0.051951178
18,25,5,0.2,14,24,0.119661646,0.334098133,0.385223314,0.051867112
18,25,5,0.2,16,20,0.134331209,0.334866563,0.606757988,0.054225733
18,25,5,0.2,16,22,0.157101623,0.35793815,0.251376015,0.054870812
