lookback,batchsize,updates,threshold,numfilters1,numfilters2,numfilters3,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,23,5,0,12,20,26,0.145684336,0.35172322,0.57272962,0.07128676
18,23,5,0,12,20,28,0.10996995,0.332705033,0.370044721,0.069632677
18,23,5,0,12,20,30,0.107988463,0.338649384,0.247368849,0.070118521
18,23,5,0,12,22,26,0.134372284,0.368629311,0.472677352,0.067548544
18,23,5,0,12,22,28,0.132785133,0.335643802,0.310786277,0.069922755
18,23,5,0,12,22,30,0.152336233,0.347563765,0.339449788,0.071474268
18,23,5,0,12,24,26,0.131451241,0.358704756,0.332587315,0.072038221
18,23,5,0,12,24,28,0.143019797,0.347638909,0.238042012,0.07298517
18,23,5,0,12,24,30,0.137681502,0.361174404,0.56509237,0.073018986
18,23,5,0,14,20,26,0.117829169,0.363845168,0.338202113,0.071396596
18,23,5,0,14,20,28,0.155058928,0.334544143,0.300694284,0.070711723
18,23,5,0,14,20,30,0.142102249,0.360713929,0.280641306,0.069653918
18,23,5,0,14,22,26,0.131666066,0.332615566,0.243123363,0.072189065
18,23,5,0,14,22,28,0.113215758,0.346267548,0.291237915,0.069642676
18,23,5,0,14,22,30,0.126188997,0.347722824,0.39197877,0.071078536
18,23,5,0,14,24,26,0.112417058,0.363698742,0.304303463,0.06525777
18,23,5,0,14,24,28,0.113416344,0.372195529,0.323892199,0.068128883
18,23,5,0,14,24,30,0.11171712,0.369999595,0.455303352,0.071764918
18,23,5,0,16,20,26,0.110612697,0.338432585,0.262826519,0.066830555
18,23,5,0,16,20,28,0.121882686,0.34838366,0.234980958,0.061098891
18,23,5,0,16,20,30,0.118878118,0.338897873,0.372863505,0.059806166
18,23,5,0,16,22,26,0.128019864,0.346247459,0.46550309,0.058591181
18,23,5,0,16,22,28,0.110516175,0.362591974,0.407099774,0.057197882
18,23,5,0,16,22,30,0.148182825,0.345587402,0.307044772,0.061617962
18,23,5,0,16,24,26,0.125148675,0.339230336,0.294256794,0.058073188
18,23,5,0,16,24,28,0.122796745,0.359121582,0.28000829,0.056899412
18,23,5,0,16,24,30,0.119097986,0.344223352,0.264385635,0.056643389
18,23,5,0.1,12,20,26,0.145684336,0.35172322,0.260195063,0.056675556
18,23,5,0.1,12,20,28,0.10996995,0.332705033,0.263100544,0.056962309
18,23,5,0.1,12,20,30,0.107988463,0.338649384,0.334232628,0.056659868
18,23,5,0.1,12,22,26,0.134372284,0.368629311,0.273385003,0.056933553
18,23,5,0.1,12,22,28,0.132785133,0.335643802,0.275568256,0.056696247
18,23,5,0.1,12,22,30,0.152336233,0.347563765,0.310212884,0.05689764
18,23,5,0.1,12,24,26,0.131451241,0.358704756,0.285624174,0.057229039
18,23,5,0.1,12,24,28,0.143019797,0.347638909,0.217003515,0.057138688
18,23,5,0.1,12,24,30,0.137681502,0.361174404,0.27901288,0.062165607
18,23,5,0.1,14,20,26,0.117829169,0.363845168,0.310570905,0.074049188
18,23,5,0.1,14,20,28,0.155058928,0.334544143,0.344641126,0.076352125
18,23,5,0.1,14,20,30,0.142102249,0.360713929,0.375623802,0.074699945
18,23,5,0.1,14,22,26,0.131666066,0.332615566,0.365863218,0.071528042
18,23,5,0.1,14,22,28,0.113215758,0.346267548,0.327318573,0.072628369
18,23,5,0.1,14,22,30,0.126188997,0.347722824,0.323521313,0.074265457
18,23,5,0.1,14,24,26,0.112417058,0.363698742,0.419755427,0.073732665
18,23,5,0.1,14,24,28,0.113416344,0.372195529,0.357171892,0.076428982
18,23,5,0.1,14,24,30,0.11171712,0.369999595,0.34151652,0.072415461
18,23,5,0.1,16,20,26,0.110612697,0.338432585,0.288615829,0.071354202
18,23,5,0.1,16,20,28,0.121882686,0.34838366,0.376551507,0.067131672
18,23,5,0.1,16,20,30,0.118878118,0.338897873,0.362670583,0.072650073
