lookback,batchsize,updates,threshold,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
16,22,6,0.13,0.154410219,0.315033616,0.256521766,0.257606773
16,22,6,0.15,0.154410219,0.315033616,0.312628209,0.256386093
16,22,7,0.13,0.154410219,0.315033616,0.500929121,0.299517352
16,22,7,0.15,0.154410219,0.315033616,0.279097883,0.311526398
16,23,6,0.13,0.152955137,0.308717743,0.253007966,0.260293366
16,23,6,0.15,0.152955137,0.308717743,0.518713144,0.254691304
16,23,7,0.13,0.152955137,0.308717743,0.348983571,0.293160535
16,23,7,0.15,0.152955137,0.308717743,0.292565528,0.29506212
16,24,6,0.13,0.153923372,0.332922161,0.277264933,0.262457835
16,24,6,0.15,0.153923372,0.332922161,0.244075035,0.252922002
16,24,7,0.13,0.153923372,0.332922161,0.274690367,0.301509856
16,24,7,0.15,0.153923372,0.332922161,0.373711959,0.292735446
18,22,6,0.13,0.148488336,0.308353471,0.366988939,0.254802062
18,22,6,0.15,0.148488336,0.308353471,0.327072102,0.251630074
18,22,7,0.13,0.148488336,0.308353471,0.265551663,0.291848415
18,22,7,0.15,0.148488336,0.308353471,0.30054655,0.292467841
18,23,6,0.13,0.150326923,0.318820435,0.354387253,0.250822093
18,23,6,0.15,0.150326923,0.318820435,0.304739569,0.257933239
18,23,7,0.13,0.150326923,0.318820435,0.219792534,0.298939267
18,23,7,0.15,0.150326923,0.318820435,0.284194929,0.29279235
18,24,6,0.13,0.153354797,0.303344994,0.242647085,0.249909738
18,24,6,0.15,0.153354797,0.303344994,0.273913235,0.257473698
18,24,7,0.13,0.153354797,0.303344994,0.238197062,0.313107842
18,24,7,0.15,0.153354797,0.303344994,0.264933117,0.306505638
