lookback,batchsize,updates,threshold,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
16,22,6,0.13,0.154410219,0.315033616,0.307496105,0.019918673
16,22,6,0.15,0.154410219,0.315033616,0.249393058,0.020142126
16,22,7,0.13,0.154410219,0.315033616,0.278063565,0.023258013
16,22,7,0.15,0.154410219,0.315033616,0.326107214,0.023298333
16,23,6,0.13,0.152955137,0.308717743,0.272470725,0.020067559
16,23,6,0.15,0.152955137,0.308717743,0.273582573,0.020229155
16,23,7,0.13,0.152955137,0.308717743,0.264865823,0.024041752
16,23,7,0.15,0.152955137,0.308717743,0.327777837,0.023811805
16,24,6,0.13,0.153923372,0.332922161,0.321783011,0.020786237
16,24,6,0.15,0.153923372,0.332922161,0.303317086,0.020903767
16,24,7,0.13,0.153923372,0.332922161,0.298749961,0.023891294
16,24,7,0.15,0.153923372,0.332922161,0.254875113,0.023715
18,22,6,0.13,0.148488336,0.308353471,0.525646919,0.021442422
18,22,6,0.15,0.148488336,0.308353471,0.343049847,0.021439737
18,22,7,0.13,0.148488336,0.308353471,0.234839209,0.024486955
18,22,7,0.15,0.148488336,0.308353471,0.225091785,0.024609919
18,23,6,0.13,0.150326923,0.318820435,0.323809765,0.021385165
18,23,6,0.15,0.150326923,0.318820435,0.42029475,0.021450469
18,23,7,0.13,0.150326923,0.318820435,0.277286021,0.02431804
18,23,7,0.15,0.150326923,0.318820435,0.293741878,0.024218096
18,24,6,0.13,0.153354797,0.303344994,0.235961568,0.020987318
18,24,6,0.15,0.153354797,0.303344994,0.253983694,0.021023506
18,24,7,0.13,0.153354797,0.303344994,0.366032881,0.024080219
18,24,7,0.15,0.153354797,0.303344994,0.272740438,0.024510566
