lookback,batchsize,updates,threshold,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
16,22,6,0.13,0.154410219,0.315033616,0.307496105,0.024714466
16,22,6,0.15,0.154410219,0.315033616,0.249393058,0.024725697
16,22,7,0.13,0.154410219,0.315033616,0.278063565,0.028084389
16,22,7,0.15,0.154410219,0.315033616,0.326107214,0.028214874
16,23,6,0.13,0.152955137,0.308717743,0.272470725,0.024666065
16,23,6,0.15,0.152955137,0.308717743,0.273582573,0.024710741
16,23,7,0.13,0.152955137,0.308717743,0.264865823,0.028614211
16,23,7,0.15,0.152955137,0.308717743,0.327777837,0.028256213
16,24,6,0.13,0.153923372,0.332922161,0.321783011,0.02473869
16,24,6,0.15,0.153923372,0.332922161,0.303317086,0.024790993
16,24,7,0.13,0.153923372,0.332922161,0.298749961,0.02801288
16,24,7,0.15,0.153923372,0.332922161,0.254875113,0.028845822
18,22,6,0.13,0.148488336,0.308353471,0.525646919,0.025687575
18,22,6,0.15,0.148488336,0.308353471,0.343049847,0.025913707
18,22,7,0.13,0.148488336,0.308353471,0.234839209,0.029606785
18,22,7,0.15,0.148488336,0.308353471,0.225091785,0.029639727
18,23,6,0.13,0.150326923,0.318820435,0.323809765,0.025859383
18,23,6,0.15,0.150326923,0.318820435,0.42029475,0.025919308
18,23,7,0.13,0.150326923,0.318820435,0.277286021,0.027593746
18,23,7,0.15,0.150326923,0.318820435,0.293741878,0.026875117
18,24,6,0.13,0.153354797,0.303344994,0.235961568,0.02340933
18,24,6,0.15,0.153354797,0.303344994,0.253983694,0.02423076
18,24,7,0.13,0.153354797,0.303344994,0.366032881,0.028530059
18,24,7,0.15,0.153354797,0.303344994,0.272740438,0.029444532
