lookback,batchsize,updates,threshold,numfilters1,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
24,25,10,0,12,0.12331173202547305,0.3238609937909643,0.343010745545083,0.06296995907295042
24,25,10,0,16,0.11825484248997781,0.3477246849343073,0.326550588048533,0.06114873211558272
24,25,10,0.1,12,0.12331173202547305,0.3238609937909643,0.21802650378411495,0.06260230146074984
24,25,10,0.1,16,0.11825484248997781,0.3477246849343073,0.399959703138069,0.06170149931223686
24,25,12,0,12,0.12331173202547305,0.3238609937909643,0.24124748896721798,0.07484661032513874
24,25,12,0,16,0.11825484248997781,0.3477246849343073,0.2807041770614228,0.07287217605404737
24,25,12,0.1,12,0.12331173202547305,0.3238609937909643,0.21707064578492904,0.07525168065949688
24,25,12,0.1,16,0.11825484248997781,0.3477246849343073,0.23494688722725834,0.07338286062103042
24,27,10,0,12,0.12464584605001187,0.33456597042284714,0.22475689514545982,0.06328117836121706
24,27,10,0,16,0.12340387621035614,0.33736143294712445,0.36018736149852304,0.062470525078624065
24,27,10,0.1,12,0.12464584605001187,0.33456597042284714,0.21534433117322074,0.06354947777249056
24,27,10,0.1,16,0.12340387621035614,0.33736143294712445,0.23126443046430106,0.06320462091488041
24,27,12,0,12,0.12464584605001187,0.33456597042284714,0.2470917259158798,0.07573673256442078
24,27,12,0,16,0.12340387621035614,0.33736143294712445,0.42935295358650905,0.07493745386317471
24,27,12,0.1,12,0.12464584605001187,0.33456597042284714,0.23335367484152453,0.07663678096943215
24,27,12,0.1,16,0.12340387621035614,0.33736143294712445,0.2645122934131684,0.07437624636874256
32,25,10,0,12,0.13746057591607483,0.34085760380826696,0.22666305329219807,0.07408603807774986
32,25,10,0,16,0.14382476325638854,0.32847099701153654,0.27737474667174616,0.07205238970314584
32,25,10,0.1,12,0.13746057591607483,0.34085760380826696,0.2458932737642832,0.07452860123595538
32,25,10,0.1,16,0.14382476325638854,0.32847099701153654,0.3339506857767757,0.07224500539027441
32,25,12,0,12,0.13746057591607483,0.34085760380826696,0.22687474654125522,0.08965090681866901
32,25,12,0,16,0.14382476325638854,0.32847099701153654,0.25334697722187594,0.08680450392932426
32,25,12,0.1,12,0.13746057591607483,0.34085760380826696,0.22346942951083848,0.09114273406589671
32,25,12,0.1,16,0.14382476325638854,0.32847099701153654,0.23311514790115,0.09064230206724885
32,27,10,0,12,0.11422749230635115,0.32594735005144515,0.2330356643539963,0.07384145050718073
32,27,10,0,16,0.11613990796799786,0.321605973920768,0.447401753757042,0.07171375291389331
32,27,10,0.1,12,0.11422749230635115,0.32594735005144515,0.23603372873120188,0.07398134804985557
32,27,10,0.1,16,0.11613990796799786,0.321605973920768,0.24113298831152752,0.07251672538551124
32,27,12,0,12,0.11422749230635115,0.32594735005144515,0.2399340174673874,0.08824269488076253
32,27,12,0,16,0.11613990796799786,0.321605973920768,0.21568672357715132,0.08599681068814521
32,27,12,0.1,12,0.11422749230635115,0.32594735005144515,0.21822677554707423,0.08832561030372002
32,27,12,0.1,16,0.11613990796799786,0.321605973920768,0.2235960293760996,0.08615100475761304
