lookback,batchsize,updates,threshold,numfilters,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
12,20,5,0,16,0.136435987,0.336438593,0.315445888,0.02757469
12,20,5,0,18,0.138510311,0.326107852,0.413911498,0.028649796
12,20,5,0,20,0.135498539,0.325804514,0.354485161,0.027686205
12,20,5,0.1,16,0.136435987,0.336438593,0.488243405,0.027484346
12,20,5,0.1,18,0.138510311,0.326107852,0.410907713,0.028399394
12,20,5,0.1,20,0.135498539,0.325804514,0.335227716,0.02800322
12,20,5,0.5,16,0.136435987,0.336438593,0.424276243,0.033062468
12,20,5,0.5,18,0.138510311,0.326107852,0.319070671,0.033434413
12,20,5,0.5,20,0.135498539,0.325804514,0.309906383,0.050293431
12,20,6,0,18,0.138510311,0.326107852,0.306620305,0.033249064
12,20,6,0.1,18,0.138510311,0.326107852,0.369522493,0.033302386
12,20,6,0.5,16,0.136435987,0.336438593,0.349864357,0.035956842
12,20,6,0.5,18,0.138510311,0.326107852,0.395449133,0.037378202
12,20,6,0.5,20,0.135498539,0.325804514,0.28763296,0.039794498
12,20,7,0,18,0.138510311,0.326107852,0.498220386,0.038639605
12,20,7,0.1,18,0.138510311,0.326107852,0.266783037,0.038509295
12,20,7,0.5,16,0.136435987,0.336438593,0.282705025,0.045757024
12,20,7,0.5,18,0.138510311,0.326107852,0.35248547,0.044054232
12,20,7,0.5,20,0.135498539,0.325804514,0.323421081,0.048680628
12,23,5,0,16,0.163683806,0.310488177,0.25276199,0.028206747
12,23,5,0,18,0.191792312,0.313789065,0.339138751,0.029220118
12,23,5,0,20,0.149129542,0.310096554,0.454356282,0.028102564
12,23,5,0.1,16,0.163683806,0.310488177,0.448968258,0.028001268
12,23,5,0.1,18,0.191792312,0.313789065,0.466502204,0.028728778
12,23,5,0.1,20,0.149129542,0.310096554,0.272141155,0.029016897
12,23,5,0.5,16,0.163683806,0.310488177,0.361072925,0.037107385
12,23,5,0.5,18,0.191792312,0.313789065,0.355444945,0.034520278
12,23,5,0.5,20,0.149129542,0.310096554,0.364362493,0.046756702
12,23,6,0,16,0.163683806,0.310488177,0.371240712,0.0334291
12,23,6,0,18,0.191792312,0.313789065,0.440105914,0.033698077
12,23,6,0,20,0.149129542,0.310096554,0.333190807,0.033899505
12,23,6,0.1,16,0.163683806,0.310488177,0.530360013,0.033133841
12,23,6,0.1,18,0.191792312,0.313789065,0.256510533,0.033913294
12,23,6,0.1,20,0.149129542,0.310096554,0.537276387,0.034126491
12,23,6,0.5,16,0.163683806,0.310488177,0.297694435,0.038356194
12,23,6,0.5,18,0.191792312,0.313789065,0.341480768,0.039937094
12,23,6,0.5,20,0.149129542,0.310096554,0.350884832,0.046619215
12,23,7,0,16,0.163683806,0.310488177,0.25660396,0.03884932
12,23,7,0,18,0.191792312,0.313789065,0.25641798,0.039045478
12,23,7,0,20,0.149129542,0.310096554,0.533563212,0.039312762
12,23,7,0.1,16,0.163683806,0.310488177,0.361071249,0.038909419
12,23,7,0.1,18,0.191792312,0.313789065,0.253997468,0.03941358
12,23,7,0.1,20,0.149129542,0.310096554,0.350028629,0.039502083
12,23,7,0.5,16,0.163683806,0.310488177,0.271988095,0.04592449
12,23,7,0.5,18,0.191792312,0.313789065,0.278681715,0.042506903
12,23,7,0.5,20,0.149129542,0.310096554,0.358859532,0.04174355
12,25,5,0,16,0.140831023,0.332049578,0.304053971,0.028388267
12,25,5,0,18,0.140274747,0.339992052,0.471792821,0.029790833
12,25,5,0,20,0.140729277,0.318985044,0.295276939,0.02933928
12,25,5,0.1,16,0.140831023,0.332049578,0.374727835,0.02936971
12,25,5,0.1,18,0.140274747,0.339992052,0.639532086,0.029768318
12,25,5,0.1,20,0.140729277,0.318985044,0.348532402,0.029584602
12,25,5,0.5,16,0.140831023,0.332049578,0.34816462,0.032745421
12,25,5,0.5,18,0.140274747,0.339992052,0.310210295,0.035851433
12,25,5,0.5,20,0.140729277,0.318985044,0.32780507,0.032121062
12,25,6,0,18,0.140274747,0.339992052,0.453894436,0.033884039
12,25,6,0.1,18,0.140274747,0.339992052,1.301283526,0.033482335
12,25,6,0.5,16,0.140831023,0.332049578,0.289479545,0.039108899
12,25,6,0.5,18,0.140274747,0.339992052,0.344352871,0.046676698
12,25,6,0.5,20,0.140729277,0.318985044,0.370562344,0.038727413
12,25,7,0,18,0.140274747,0.339992052,0.343432875,0.039021849
12,25,7,0.1,18,0.140274747,0.339992052,0.314101687,0.039221571
12,25,7,0.5,16,0.140831023,0.332049578,0.400846216,0.040453789
12,25,7,0.5,18,0.140274747,0.339992052,0.299707008,0.044716686
12,25,7,0.5,20,0.140729277,0.318985044,0.29200197,0.049683946
18,20,5,0,16,0.124188291,0.351130706,0.44549564,0.032867833
18,20,5,0,18,0.125561637,0.34379394,0.279698489,0.033507451
18,20,5,0,20,0.157130497,0.333308253,0.289715531,0.032463338
18,20,5,0.1,16,0.124188291,0.351130706,0.337810675,0.030352295
18,20,5,0.1,18,0.125561637,0.34379394,0.324740071,0.030957301
18,20,5,0.1,20,0.157130497,0.333308253,0.557908275,0.030610056
18,20,5,0.5,16,0.124188291,0.351130706,0.261651886,0.040797204
18,20,5,0.5,18,0.125561637,0.34379394,0.317533034,0.03606078
18,20,5,0.5,20,0.157130497,0.333308253,0.280227668,0.039849146
18,20,6,0,16,0.124188291,0.351130706,0.22750189,0.035662545
18,20,6,0,18,0.125561637,0.34379394,0.330851318,0.035961099
18,20,6,0,20,0.157130497,0.333308253,0.279271202,0.035047249
18,20,6,0.1,16,0.124188291,0.351130706,0.459342456,0.034787498
18,20,6,0.1,18,0.125561637,0.34379394,0.401013509,0.035679612
18,20,6,0.1,20,0.157130497,0.333308253,0.299093759,0.035048685
18,20,6,0.5,16,0.124188291,0.351130706,0.303918994,0.046009271
18,20,6,0.5,18,0.125561637,0.34379394,0.39852485,0.038462612
18,20,6,0.5,20,0.157130497,0.333308253,0.263999611,0.045986775
18,20,7,0,16,0.124188291,0.351130706,0.270392779,0.039796924
18,20,7,0,18,0.125561637,0.34379394,0.36236949,0.040383231
18,20,7,0,20,0.157130497,0.333308253,0.264339883,0.039690626
18,20,7,0.1,16,0.124188291,0.351130706,0.328284274,0.040293827
18,20,7,0.1,18,0.125561637,0.34379394,0.242497093,0.040590078
18,20,7,0.1,20,0.157130497,0.333308253,0.342248843,0.039974868
18,20,7,0.5,16,0.124188291,0.351130706,0.275108437,0.045760756
18,20,7,0.5,18,0.125561637,0.34379394,0.451926269,0.042284695
18,20,7,0.5,20,0.157130497,0.333308253,0.276592488,0.04984677
18,23,5,0,16,0.132810299,0.33521819,0.367564029,0.030673811
18,23,5,0,18,0.128073586,0.32483796,0.615401825,0.030784797
18,23,5,0,20,0.126368559,0.317677541,0.472691303,0.030580541
18,23,5,0.1,16,0.132810299,0.33521819,0.27981442,0.029565398
18,23,5,0.1,18,0.128073586,0.32483796,0.326615437,0.03059983
18,23,5,0.1,20,0.126368559,0.317677541,0.408602846,0.030408025
18,23,5,0.5,16,0.132810299,0.33521819,0.355172789,0.03606778
18,23,5,0.5,18,0.128073586,0.32483796,0.407765671,0.034781146
18,23,5,0.5,20,0.126368559,0.317677541,0.274672361,0.035647229
18,23,6,0,16,0.132810299,0.33521819,0.286590484,0.035219487
18,23,6,0,18,0.128073586,0.32483796,0.273141048,0.03532709
18,23,6,0,20,0.126368559,0.317677541,0.504135745,0.035575443
18,23,6,0.1,16,0.132810299,0.33521819,0.268178265,0.03479157
18,23,6,0.1,18,0.128073586,0.32483796,0.293402615,0.035651929
18,23,6,0.1,20,0.126368559,0.317677541,0.246195606,0.035623868
18,23,6,0.5,16,0.132810299,0.33521819,0.334052626,0.037902778
18,23,6,0.5,18,0.128073586,0.32483796,0.297844432,0.039584539
18,23,6,0.5,20,0.126368559,0.317677541,0.284678399,0.044010284
18,23,7,0,16,0.132810299,0.33521819,0.261624957,0.040276404
18,23,7,0,18,0.128073586,0.32483796,0.28099613,0.04223907
18,23,7,0,20,0.126368559,0.317677541,0.247007135,0.043097759
18,23,7,0.1,16,0.132810299,0.33521819,0.311369425,0.043027274
18,23,7,0.1,18,0.128073586,0.32483796,0.323032644,0.044723524
18,23,7,0.1,20,0.126368559,0.317677541,0.303077048,0.044731894
18,23,7,0.5,16,0.132810299,0.33521819,0.336221312,0.051536809
18,23,7,0.5,18,0.128073586,0.32483796,0.409013863,0.050712824
18,23,7,0.5,20,0.126368559,0.317677541,0.452651562,0.045065927
18,25,5,0,16,0.140966651,0.317910143,0.279664385,0.032794129
18,25,5,0,18,0.125616867,0.32494159,0.300975342,0.033728964
18,25,5,0,20,0.134359081,0.3193303,0.452861752,0.032525784
18,25,5,0.1,16,0.140966651,0.317910143,0.244987354,0.032419967
18,25,5,0.1,18,0.125616867,0.32494159,0.262777857,0.033501401
18,25,5,0.1,20,0.134359081,0.3193303,0.246148344,0.033602963
18,25,5,0.5,16,0.140966651,0.317910143,0.271096583,0.037249161
18,25,5,0.5,18,0.125616867,0.32494159,0.332152581,0.035403193
18,25,5,0.5,20,0.134359081,0.3193303,0.347808418,0.034517668
18,25,6,0,16,0.140966651,0.317910143,0.304314092,0.038344273
18,25,6,0,18,0.125616867,0.32494159,0.227776985,0.03970774
18,25,6,0,20,0.134359081,0.3193303,0.460571397,0.039773329
18,25,6,0.1,16,0.140966651,0.317910143,0.279490356,0.037643218
18,25,6,0.1,18,0.125616867,0.32494159,0.32650844,0.038279126
18,25,6,0.1,20,0.134359081,0.3193303,0.327456883,0.038435166
18,25,6,0.5,16,0.140966651,0.317910143,0.274607351,0.041310362
18,25,6,0.5,18,0.125616867,0.32494159,0.273795625,0.040855898
18,25,6,0.5,20,0.134359081,0.3193303,0.29187384,0.045863802
18,25,7,0,16,0.140966651,0.317910143,0.269967791,0.042763462
18,25,7,0,18,0.125616867,0.32494159,0.259485365,0.043026591
18,25,7,0,20,0.134359081,0.3193303,0.274488607,0.049615151
18,25,7,0.1,16,0.140966651,0.317910143,0.278330354,0.044159557
18,25,7,0.1,18,0.125616867,0.32494159,0.311502188,0.047806987
18,25,7,0.1,20,0.134359081,0.3193303,0.33766317,0.050050353
18,25,7,0.5,16,0.140966651,0.317910143,0.267004107,0.055928974
18,25,7,0.5,18,0.125616867,0.32494159,0.299357134,0.052741786
18,25,7,0.5,20,0.134359081,0.3193303,0.348501788,0.0538495
24,20,5,0,16,0.117808723,0.340731834,0.393406854,0.037318848
24,20,5,0,18,0.112246438,0.35286297,0.24014195,0.037610687
24,20,5,0,20,0.119970717,0.325216536,0.276168363,0.036914802
24,20,5,0.1,16,0.117808723,0.340731834,0.390218603,0.037134678
24,20,5,0.1,18,0.112246438,0.35286297,0.312101398,0.037616248
24,20,5,0.1,20,0.119970717,0.325216536,0.3509325,0.036405253
24,20,5,0.5,16,0.117808723,0.340731834,0.328150171,0.039459335
24,20,5,0.5,18,0.112246438,0.35286297,0.359558867,0.059869666
24,20,5,0.5,20,0.119970717,0.325216536,0.333398912,0.050406599
24,20,6,0,18,0.112246438,0.35286297,0.269598007,0.044577703
24,20,6,0.1,18,0.112246438,0.35286297,0.426802929,0.045313946
24,20,6,0.5,16,0.117808723,0.340731834,0.315422046,0.065343015
24,20,6,0.5,18,0.112246438,0.35286297,0.348243961,0.062207036
24,20,6,0.5,20,0.119970717,0.325216536,0.317355156,0.049740282
24,20,7,0,18,0.112246438,0.35286297,0.657100766,0.049356291
24,20,7,0.1,18,0.112246438,0.35286297,0.313276536,0.051035064
24,20,7,0.5,16,0.117808723,0.340731834,0.312013342,0.054864899
24,20,7,0.5,18,0.112246438,0.35286297,0.337360905,0.063688997
24,20,7,0.5,20,0.119970717,0.325216536,0.33993197,0.052544791
24,23,5,0,16,0.130595776,0.347522233,0.230059712,0.03533942
24,23,5,0,18,0.151315067,0.357331214,0.418150599,0.036191662
