Metros2,CapasCNN,Kernel,lookback,batchsize,updates,threshold,numfilters1,numfilters2,numfilters3,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
49,0,,16,22,6,0.13,,,,0.154410219,0.315033616,0.256521766,0.257606773
49,0,,16,22,6,0.15,,,,0.154410219,0.315033616,0.312628209,0.256386093
49,0,,16,22,7,0.13,,,,0.154410219,0.315033616,0.500929121,0.299517352
49,0,,16,22,7,0.15,,,,0.154410219,0.315033616,0.279097883,0.311526398
49,0,,16,23,6,0.13,,,,0.152955137,0.308717743,0.253007966,0.260293366
49,0,,16,23,6,0.15,,,,0.152955137,0.308717743,0.518713144,0.254691304
49,0,,16,23,7,0.13,,,,0.152955137,0.308717743,0.348983571,0.293160535
49,0,,16,23,7,0.15,,,,0.152955137,0.308717743,0.292565528,0.29506212
49,0,,16,24,6,0.13,,,,0.153923372,0.332922161,0.277264933,0.262457835
49,0,,16,24,6,0.15,,,,0.153923372,0.332922161,0.244075035,0.252922002
49,0,,16,24,7,0.13,,,,0.153923372,0.332922161,0.274690367,0.301509856
49,0,,16,24,7,0.15,,,,0.153923372,0.332922161,0.373711959,0.292735446
49,0,,18,22,6,0.13,,,,0.148488336,0.308353471,0.366988939,0.254802062
49,0,,18,22,6,0.15,,,,0.148488336,0.308353471,0.327072102,0.251630074
49,0,,18,22,7,0.13,,,,0.148488336,0.308353471,0.265551663,0.291848415
49,0,,18,22,7,0.15,,,,0.148488336,0.308353471,0.30054655,0.292467841
49,0,,18,23,6,0.13,,,,0.150326923,0.318820435,0.354387253,0.250822093
49,0,,18,23,6,0.15,,,,0.150326923,0.318820435,0.304739569,0.257933239
49,0,,18,23,7,0.13,,,,0.150326923,0.318820435,0.219792534,0.298939267
49,0,,18,23,7,0.15,,,,0.150326923,0.318820435,0.284194929,0.29279235
49,0,,18,24,6,0.13,,,,0.153354797,0.303344994,0.242647085,0.249909738
49,0,,18,24,6,0.15,,,,0.153354797,0.303344994,0.273913235,0.257473698
49,0,,18,24,7,0.13,,,,0.153354797,0.303344994,0.238197062,0.313107842
49,0,,18,24,7,0.15,,,,0.153354797,0.303344994,0.264933117,0.306505638
49,1,2,18,23,5,0,12,,,0.137827724,0.324467805,0.279965723,0.032853035
49,1,2,18,23,5,0,16,,,0.125468711,0.364854175,0.397628244,0.032174204
49,1,2,18,23,5,0.1,12,,,0.137827724,0.324467805,0.384571303,0.032853531
49,1,2,18,23,5,0.1,16,,,0.125468711,0.364854175,0.317792463,0.03241313
49,1,2,18,23,6,0,12,,,0.137827724,0.324467805,0.371626703,0.039231659
49,1,2,18,23,6,0,16,,,0.125468711,0.364854175,0.450333962,0.038338575
49,1,2,18,23,6,0.1,12,,,0.137827724,0.324467805,0.603787717,0.039075218
49,1,2,18,23,6,0.1,16,,,0.125468711,0.364854175,0.450333962,0.038142418
49,1,2,18,25,5,0,12,,,0.136125974,0.330671703,0.548032955,0.033249048
49,1,2,18,25,5,0,16,,,0.139096578,0.368738744,0.274557706,0.032479057
49,1,2,18,25,5,0.1,12,,,0.136125974,0.330671703,0.223904877,0.033484343
49,1,2,18,25,5,0.1,16,,,0.139096578,0.368738744,0.274233041,0.032589521
49,1,2,18,25,6,0,12,,,0.136125974,0.330671703,0.213878614,0.039046449
49,1,2,18,25,6,0,16,,,0.139096578,0.368738744,0.22844304,0.03815906
49,1,2,18,25,6,0.1,12,,,0.136125974,0.330671703,0.350611352,0.036939087
49,1,2,18,25,6,0.1,16,,,0.139096578,0.368738744,0.236644082,0.036355032
49,1,2,24,23,5,0,12,,,0.126963456,0.340309696,0.433358927,0.035368953
49,1,2,24,23,5,0,16,,,0.128212526,0.355794357,0.297044657,0.034377358
